timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1745327987224,596,My First HTTP Request,200,OK,Thread Group 1-1,text,true,,6057,131,2,2,https://www.demoblaze.com/cart.html,589,0,385
1745327987730,506,My First HTTP Request,200,OK,Thread Group 1-2,text,true,,5692,131,2,2,https://www.demoblaze.com/cart.html,496,0,289
1745327988225,463,My First HTTP Request,200,OK,Thread Group 1-3,text,true,,5875,131,1,1,https://www.demoblaze.com/cart.html,460,0,259
1745327988726,397,My First HTTP Request,200,OK,Thread Group 1-4,text,true,,5803,131,1,1,https://www.demoblaze.com/cart.html,394,0,289
1745327989228,515,My First HTTP Request,200,OK,Thread Group 1-5,text,true,,5760,131,2,2,https://www.demoblaze.com/cart.html,511,0,301
1745327989727,486,My First HTTP Request,200,OK,Thread Group 1-6,text,true,,5846,131,1,1,https://www.demoblaze.com/cart.html,481,0,274
1745327990237,368,My First HTTP Request,200,OK,Thread Group 1-7,text,true,,5916,131,1,1,https://www.demoblaze.com/cart.html,363,0,271
1745327990729,381,My First HTTP Request,200,OK,Thread Group 1-8,text,true,,5970,131,1,1,https://www.demoblaze.com/cart.html,377,0,283
1745327991255,444,My First HTTP Request,200,OK,Thread Group 1-9,text,true,,5885,131,1,1,https://www.demoblaze.com/cart.html,438,0,336
1745327991741,594,My First HTTP Request,200,OK,Thread Group 1-10,text,true,,6020,131,2,2,https://www.demoblaze.com/cart.html,579,0,375
1745327992235,474,My First HTTP Request,200,OK,Thread Group 1-11,text,true,,5934,131,1,1,https://www.demoblaze.com/cart.html,469,0,373
1745327992728,859,My First HTTP Request,200,OK,Thread Group 1-12,text,true,,5768,131,2,2,https://www.demoblaze.com/cart.html,845,0,744
1745327993228,423,My First HTTP Request,200,OK,Thread Group 1-13,text,true,,6026,131,1,1,https://www.demoblaze.com/cart.html,418,0,314
1745327993725,452,My First HTTP Request,200,OK,Thread Group 1-14,text,true,,5965,131,1,1,https://www.demoblaze.com/cart.html,446,0,317
1745327994230,395,My First HTTP Request,200,OK,Thread Group 1-15,text,true,,5895,131,1,1,https://www.demoblaze.com/cart.html,390,0,299
1745327994728,560,My First HTTP Request,200,OK,Thread Group 1-16,text,true,,24602,131,2,2,https://www.demoblaze.com/cart.html,479,0,272
1745327995219,398,My First HTTP Request,200,OK,Thread Group 1-17,text,true,,5882,131,1,1,https://www.demoblaze.com/cart.html,393,0,294
1745327995724,490,My First HTTP Request,200,OK,Thread Group 1-18,text,true,,5923,131,1,1,https://www.demoblaze.com/cart.html,486,0,275
1745327996231,485,My First HTTP Request,200,OK,Thread Group 1-19,text,true,,6011,131,1,1,https://www.demoblaze.com/cart.html,480,0,276
1745327996724,393,My First HTTP Request,200,OK,Thread Group 1-20,text,true,,6039,131,1,1,https://www.demoblaze.com/cart.html,384,0,284
